"Date","Video Views","Profile Views","Likes","Comments","Shares"
"30 de abril","545","10","3","0","0"
"1 de maio","46","1","0","0","0"
"2 de maio","0","0","0","0","0"
"3 de maio","0","0","0","0","0"
"4 de maio","1596","31","32","1","3"
"5 de maio","799","22","27","2","3"
"6 de maio","157","15","1","0","0"
"7 de maio","690","13","8","1","1"
"8 de maio","32","11","1","0","0"
"9 de maio","629","10","7","2","0"
"10 de maio","859","20","14","1","1"
"11 de maio","869","18","34","2","3"
"12 de maio","4472","33","118","2","1"
"13 de maio","696","5","37","1","0"
"14 de maio","325","10","19","0","0"
"15 de maio","268","15","10","0","0"
"16 de maio","1169","32","41","2","1"
"17 de maio","186","7","5","0","0"
"18 de maio","87","4","2","0","0"
"19 de maio","51","3","1","0","0"
"20 de maio","22","1","1","0","0"
"21 de maio","33","1","2","0","0"
"22 de maio","70","0","0","0","0"
"23 de maio","282","2","4","0","0"
"24 de maio","265","3","5","0","0"
"25 de maio","304","7","6","0","0"
"26 de maio","84","6","3","0","0"
"27 de maio","24","1","1","0","0"
